Location,Education High Rate,Employment Rate
"Abitibi 70, ON",0.5,0.8125
"Addington Highlands, ON",0.426923077,0.847826087
"Adelaide-Metcalfe, ON",0.586666667,0.940652819
"Adjala-Tosorontio, ON",0.562135113,0.909822866
"Admaston/Bromley, ON",0.603278689,0.940993789
"Agency 1, ON",,
"Ajax, ON",0.683021304,0.866262951
"Akwesasne (Part) 59, ON",,
"Alberton, ON",0.62244898,0.943181818
"Alderville First Nation, ON",0.553571429,0.770833333
"Alfred and Plantagenet, ON",0.555347092,0.936211973
"Algoma, ON",0.592760181,0.844765343
"Algonquin Highlands, ON",0.620689655,0.886699507
"Alnwick/Haldimand, ON",0.636942675,0.88485607
"Amaranth, ON",0.595132743,0.909819639
"Amherstburg, ON",0.648201736,0.879783694
"Armour, ON",0.517006803,0.824
"Armstrong, ON",0.472727273,0.933962264
"Arnprior, ON",0.619808307,0.906392694
"Aroland, ON",0.1875,1
"Arran-Elderslie, ON",0.546268657,0.928571429
"Ashfield-Colborne-Wawanosh, ON",0.586538462,0.949367089
"Asphodel-Norwood, ON",0.560767591,0.900452489
"Assabaska, ON",,
"Assiginack, ON",0.663043478,0.946808511
"Athens, ON",0.638629283,0.870431894
"Atikokan, ON",0.544401544,0.923766816
"Attawapiskat 91A, ON",0.2109375,0.916666667
"Augusta, ON",0.596052632,0.921363041
"Aurora, ON",0.77335104,0.88203479
"Aylmer, ON",0.455284553,0.901773533
"Baldwin, ON",0.557692308,0.909090909
"Bancroft, ON",0.49197861,0.881410256
"Barrie, ON",0.630364069,0.87457902
"Bayham, ON",0.365891473,0.894080997
"Bear Island 1, ON",0.368421053,0.705882353
"Bearskin Lake, ON",0.243902439,0.945945946
"Beckwith, ON",0.727272727,0.935515873
"Belleville, ON",0.587724063,0.880919631
"Big Grassy River 35G, ON",0.47826087,0.777777778
"Big Island Mainland 93, ON",,
"Billings, ON",0.542857143,0.836363636
"Black River-Matheson, ON",0.53125,0.914634146
"Blandford-Blenheim, ON",0.625,0.931395349
"Blind River, ON",0.547058824,0.882154882
"Bluewater, ON",0.608333333,0.941099476
"Bonfield, ON",0.537190083,0.926701571
"Bonnechere Valley, ON",0.561983471,0.911042945
"Bracebridge, ON",0.620934358,0.90104773
"Bradford West Gwillimbury, ON",0.596887657,0.886427796
"Brampton, ON",0.648049119,0.866751929
"Brant, ON",0.649738611,0.912360086
"Brantford, ON",0.572122879,0.875943802
"Brethour, ON",0,1
"Brighton, ON",0.584205519,0.898128898
"Brock, ON",0.578341014,0.913646877
"Brockton, ON",0.562173459,0.936344969
"Brockville, ON",0.581939799,0.855316973
"Brooke-Alvinston, ON",0.5625,0.908333333
"Bruce Mines, ON",0.551020408,0.780487805
"Brudenell, ON",0.473333333,0.80620155
"Burk's Falls, ON",0.455357143,0.888888889
"Burlington, ON",0.76260928,0.893475765
"Burpee and Mills, ON",0.542857143,0.90625
"Caledon, ON",0.669164619,0.887923041
"Callander, ON",0.721198157,0.921914358
"Calvin, ON",0.625,0.921568627
"Cambridge, ON",0.600895064,0.885072922
"Carleton Place, ON",0.637970792,0.922007722
"Carling, ON",0.62962963,0.928057554
"Carlow/Mayo, ON",0.427083333,0.906976744
"Casey, ON",0.485714286,1
"Casselman, ON",0.674074074,0.949275362
"Cat Lake 63C, ON",0.098039216,0.92
"Cavan Monaghan, ON",0.672463768,0.908203125
"Central Elgin, ON",0.679638638,0.905737705
"Central Frontenac, ON",0.530916844,0.876606684
"Central Huron, ON",0.588072122,0.937738247
"Central Manitoulin, ON",0.607734807,0.917127072
"Centre Hastings, ON",0.568085106,0.900232019
"Centre Wellington, ON",0.654094133,0.928506237
"Chamberlain, ON",0.652173913,0.869565217
"Champlain, ON",0.616438356,0.920427553
"Chapleau 74A, ON",,
"Chapleau 75, ON",,
"Chapleau Cree Fox Lake, ON",0.5,1
"Chapleau, ON",0.525773196,0.931578947
"Chapple, ON",0.337349398,0.958762887
"Charlton and Dack, ON",0.597402597,0.929411765
"Chatham-Kent, ON",0.547523296,0.892842536
"Chatsworth, ON",0.57826087,0.918486172
"Chief's Point No. 28, ON",,
"Chippewas of Georgina Island First Nation, ON",0.571428571,0.913043478
"Chippewas of Rama First Nation, ON",0.50877193,0.720430108
"Chippewas of the Thames First Nation 42, ON",,
"Chisholm, ON",0.55,0.852713178
"Christian Island 30, ON",0.567164179,0.822580645
"Christian Island 30A, ON",,
"Clarence-Rockland, ON",0.636203246,0.935135135
"Clarington, ON",0.679314453,0.889503272
"Clearview, ON",0.586692258,0.905545399
"Cobalt, ON",0.495049505,0.870588235
"Cobourg, ON",0.61790393,0.875712657
"Cochrane, ON",0.516055764,0.906706139
"Cockburn Island, ON",,
"Coleman, ON",0.612244898,0.914893617
"Collingwood, ON",0.634312473,0.872078198
"Conmee, ON",0.586956522,0.886363636
"Constance Lake 92, ON",0.4375,0.785714286
"Cornwall, ON",0.503668537,0.876169375
"Couchiching 16A, ON",0.609375,0.857142857
"Cramahe, ON",0.550578035,0.920610687
"Curve Lake First Nation 35, ON",0.5,0.789473684
"Dawn-Euphemia, ON",0.510638298,0.92195122
"Dawson, ON",0.542857143,0.941176471
"Deep River, ON",0.755,0.933701657
"Deer Lake, ON",0.102040816,0.867647059
"Deseronto, ON",0.460227273,0.84
"Dokis 9, ON",0.55,0.866666667
"Dorion, ON",0.468085106,0.9
"Douro-Dummer, ON",0.637065637,0.91038961
"Drummond/North Elmsley, ON",0.660714286,0.928057554
"Dryden, ON",0.518666667,0.916782247
"Dubreuilville, ON",0.509090909,0.965517241
"Duck Lake 76B, ON",0.230769231,0.625
"Dutton/Dunwich, ON",0.617169374,0.906666667
"Dysart et al, ON",0.612612613,0.909379968
"Eagle Lake 27, ON",0.461538462,0.761904762
"Ear Falls, ON",0.527272727,0.881818182
"East Ferris, ON",0.671641791,0.906930693
"East Garafraxa, ON",0.645901639,0.913173653
"East Gwillimbury, ON",0.709114927,0.88500265
"East Hawkesbury, ON",0.607629428,0.926966292
"East Zorra-Tavistock, ON",0.621890547,0.942502818
"Edwardsburgh/Cardinal, ON",0.620558376,0.906666667
"Elizabethtown-Kitley, ON",0.616564417,0.917082917
"Elliot Lake, ON",0.453713123,0.834745763
"Emo, ON",0.603448276,0.925373134
"Englehart, ON",0.503759398,0.929133858
"English River 21, ON",0.24137931,0.805555556
"Enniskillen, ON",0.65,0.948453608
"Erin, ON",0.657616893,0.917555082
"Espanola, ON",0.545955882,0.905908096
"Essa, ON",0.572800615,0.893010543
"Essex, ON",0.580092593,0.874823529
"Evanturel, ON",0.703703704,0.9
"Factory Island 1, ON",0.482269504,0.839622642
"Faraday, ON",0.566666667,0.822222222
"Fauquier-Strickland, ON",0.404255319,0.897435897
"Flying Post 73, ON",,
"Fort Albany (Part) 67, ON",0.381578947,0.784615385
"Fort Erie, ON",0.572699387,0.846478416
"Fort Frances, ON",0.583333333,0.918699187
"Fort Hope 64, ON",0.148148148,0.901639344
"Fort Severn 89, ON",0.21875,1
"Fort William 52, ON",0.402061856,0.847457627
"French River / Rivière des Français, ON",0.525773196,0.861111111
"French River 13, ON",0.461538462,1
"Front of Yonge, ON",0.56928839,0.911877395
"Frontenac Islands, ON",0.710382514,0.9
"Gananoque, ON",0.590316574,0.87961165
"Garden River 14, ON",0.530973451,0.860465116
"Gauthier, ON",0.55,0.866666667
"Georgian Bay, ON",0.543283582,0.894736842
"Georgian Bluffs, ON",0.643960036,0.913242009
"Georgina, ON",0.572042609,0.888781431
"Gillies, ON",0.632653061,0.930232558
"Ginoogaming First Nation, ON",0.238095238,1
"Goderich, ON",0.578512397,0.906876791
"Gordon/Barrie Island, ON",0.511627907,0.895833333
"Gore Bay, ON",0.552941176,0.891304348
"Goulais Bay 15A, ON",,
"Grand Valley, ON",0.553811659,0.922048998
"Gravenhurst, ON",0.52588332,0.893835616
"Greater Madawaska, ON",0.625874126,0.897959184
"Greater Napanee, ON",0.571250778,0.905596763
"Greater Sudbury / Grand Sudbury, ON",0.671051113,0.896428571
"Greenstone, ON",0.501176471,0.912820513
"Grey Highlands, ON",0.533990148,0.926356589
"Grimsby, ON",0.707284324,0.89771987
"Gros Cap 49, ON",0.444444444,0.75
"Guelph, ON",0.688544692,0.891668752
"Guelph/Eramosa, ON",0.694520548,0.923374115
"Gull River 55, ON",0.3,0.666666667
"Haldimand County, ON",0.588798087,0.916514691
"Halton Hills, ON",0.678781636,0.902503112
"Hamilton, ON",0.653323323,0.884926913
"Hanover, ON",0.504155125,0.905027933
"Harley, ON",0.489795918,0.956521739
"Harris, ON",0.644067797,0.943396226
"Hastings Highlands, ON",0.523584906,0.846774194
"Havelock-Belmont-Methuen, ON",0.510373444,0.863636364
"Hawkesbury, ON",0.434332989,0.884753902
"Head, ON",0.411764706,1
"Hearst, ON",0.619341564,0.914171657
"Henvey Inlet 2, ON",,
"Hiawatha First Nation, ON",0.611111111,0.875
"Highlands East, ON",0.494923858,0.85106383
"Hilliard, ON",0.392857143,0.857142857
"Hilton Beach, ON",0.476190476,0.818181818
"Hilton, ON",0.741935484,0.888888889
"Hornepayne, ON",0.433962264,0.917525773
"Horton, ON",0.612612613,0.92
"Howick, ON",0.460704607,0.964454976
"Hudson, ON",0.666666667,0.927272727
"Huntsville, ON",0.600821168,0.879529412
"Huron East, ON",0.553610503,0.934224049
"Huron Shores, ON",0.481675393,0.90625
"Huron-Kinloss, ON",0.631799163,0.933240612
"Ignace, ON",0.44,0.87
"Ingersoll, ON",0.558219178,0.857743518
"Innisfil, ON",0.584798995,0.881859264
"Iroquois Falls, ON",0.560810811,0.88101983
"James, ON",0.511627907,1
"Jocelyn, ON",0.65625,1
"Johnson, ON",0.558823529,0.972222222
"Joly, ON",0.428571429,0.833333333
"Kapuskasing, ON",0.573033708,0.922535211
"Kasabonika Lake, ON",0.224719101,0.904761905
"Kawartha Lakes, ON",0.567679917,0.887808219
"Kearney, ON",0.564356436,0.901234568
"Kee-Way-Win, ON",0.125,0.875
"Kenora 38B, ON",0.425,0.935483871
"Kenora, ON",0.579054917,0.917102136
"Kerns, ON",0.666666667,1
"Kettle Point 44, ON",0.5,0.807228916
"Killaloe, ON",0.618834081,0.857819905
"Killarney, ON",0.517241379,0.866666667
"Kincardine, ON",0.720853859,0.917094017
"King, ON",0.714985994,0.890309556
"Kingfisher Lake 1, ON",0.234042553,0.948717949
"Kingston, ON",0.695172825,0.86839355
"Kingsville, ON",0.585666825,0.902621723
"Kirkland Lake, ON",0.56125,0.893063584
"Kitchener, ON",0.651919574,0.889942734
"Kitchenuhmaykoosib Aaki 84, ON",0.162790698,0.96
"La Vallee, ON",0.66,0.923913043
"LaSalle, ON",0.74903014,0.86698479
"Lac Seul 28, ON",0.27173913,0.880597015
"Lac des Mille Lacs 22A1, ON",,
"Laird, ON",0.663934426,0.901785714
"Lake Helen 53A, ON",0.434782609,0.9
"Lake Nipigon, ON",,
"Lake of Bays, ON",0.594594595,0.892388451
"Lake of the Woods 37, ON",0.333333333,0.666666667
"Lake of the Woods, ON",0.555555556,0.85
"Lakeshore, ON",0.658333333,0.867793471
"Lambton Shores, ON",0.588560886,0.903992395
"Lanark Highlands, ON",0.593800979,0.908602151
"Lansdowne House, ON",,
"Larder Lake, ON",0.512195122,0.916666667
"Latchford, ON",0.580645161,0.909090909
"Laurentian Hills, ON",0.580745342,0.945054945
"Laurentian Valley, ON",0.640079761,0.908523909
"Leamington, ON",0.384126984,0.89828614
"Leeds and the Thousand Islands, ON",0.625,0.885511651
"Limerick, ON",0.485714286,0.75
"Lincoln, ON",0.676039604,0.905283019
"London, ON",0.678391167,0.867460891
"Long Lake 58, ON",0.171428571,0.857142857
"Loyalist, ON",0.654680365,0.902628435
"Lucan Biddulph, ON",0.745847176,0.927786499
"M'Chigeeng 22, ON",0.515151515,0.880597015
"Macdonald, ON",0.773006135,0.913333333
"Machar, ON",0.544444444,0.925925926
"Machin, ON",0.427083333,0.862068966
"Madawaska Valley, ON",0.468023256,0.905537459
"Madoc, ON",0.517094017,0.894230769
"Magnetawan, ON",0.548387097,0.892307692
"Magnetewan 1, ON",0.545454545,1
"Malahide, ON",0.453724605,0.92339979
"Manitou Rapids 11, ON",0.555555556,0.772727273
"Manitoulin, ON",0.727272727,1
"Manitouwadge, ON",0.46039604,0.868131868
"Mapleton, ON",0.444555445,0.961604096
"Marathon, ON",0.51800554,0.917981073
"Markham, ON",0.713286328,0.862349009
"Markstay-Warren, ON",0.535483871,0.902723735
"Marmora and Lake, ON",0.454761905,0.856716418
"Marten Falls 65, ON",0.166666667,0.692307692
"Matachewan 72, ON",0.375,1
"Matachewan, ON",0.275862069,0.916666667
"Mattagami 71, ON",0.526315789,1
"Mattawa, ON",0.456521739,0.827338129
"Mattawan, ON",0.5,1
"Mattice-Val Côté, ON",0.416666667,0.9
"McDougall, ON",0.715827338,0.903780069
"McGarry, ON",0.474576271,0.914893617
"McKellar, ON",0.545454545,0.909090909
"McMurrich/Monteith, ON",0.516483516,0.893333333
"McNab/Braeside, ON",0.640099626,0.905172414
"Meaford, ON",0.620241411,0.897674419
"Melancthon, ON",0.489096573,0.922636103
"Merrickville-Wolford, ON",0.671009772,0.924290221
"Middlesex Centre, ON",0.771653543,0.923421183
"Midland, ON",0.559273965,0.872394188
"Milton, ON",0.772126723,0.886302533
"Minden Hills, ON",0.580029369,0.887043189
"Minto, ON",0.451205511,0.945220193
"Mississagi River 8, ON",0.510204082,0.885714286
"Mississauga, ON",0.728610563,0.860281924
"Mississaugas of Scugog Island, ON",0.357142857,0.75
"Mississippi Mills, ON",0.697945205,0.924170616
"Mono, ON",0.67761807,0.898843931
"Montague, ON",0.598591549,0.921760391
"Moonbeam, ON",0.526717557,0.855670103
"Moose Factory 68, ON",,
"Moose Point 79, ON",0.428571429,0.785714286
"Moosonee, ON",0.578947368,0.915492958
"Moravian 47, ON",0.470588235,0.916666667
"Morley, ON",0.514285714,0.894736842
"Morris-Turnberry, ON",0.510769231,0.952254642
"Mulmur, ON",0.659949622,0.900744417
"Munsee-Delaware Nation 1, ON",0.384615385,0.818181818
"Muskoka Lakes, ON",0.62372449,0.900990099
"Muskrat Dam Lake, ON",,
"Nairn and Hyman, ON",0.645833333,0.948717949
"Naiscoutaing 17A, ON",,
"Neebing, ON",0.657142857,0.905982906
"Neguaguon Lake 25D, ON",0.25,0.846153846
"Neskantaga, ON",0.260869565,0.888888889
"New Credit (Part) 40A, ON",0.625,0.854166667
"New Post 69A, ON",0.416666667,1
"New Tecumseth, ON",0.579265659,0.904106644
"Newbury, ON",0.41509434,0.934782609
"Newmarket, ON",0.71394331,0.876820641
"Neyaashiinigmiing 27, ON",0.508196721,0.80952381
"Niagara Falls, ON",0.599651604,0.774501301
"Niagara-on-the-Lake, ON",0.719557196,0.850422195
"Nipigon, ON",0.583941606,0.856060606
"Nipissing 10, ON",0.650273224,0.834482759
"Nipissing, ON",0.501431174,0.922115488
"Norfolk County, ON",0.549961744,0.898149613
"North Algona Wilberforce, ON",0.597597598,0.879194631
"North Bay, ON",0.659352919,0.880235988
"North Dumfries, ON",0.698455949,0.925895087
"North Dundas, ON",0.612176814,0.929589271
"North Frontenac, ON",0.570135747,0.886363636
"North Glengarry, ON",0.531468531,0.923762376
"North Grenville, ON",0.689397975,0.92376919
"North Huron, ON",0.509803922,0.918714556
"North Kawartha, ON",0.601398601,0.865217391
"North Middlesex, ON",0.616504854,0.932846715
"North Perth, ON",0.495062541,0.943030303
"North Spirit Lake, ON",0.16,1
"North Stormont, ON",0.604010025,0.941028858
"Northeastern Manitoulin and the Islands, ON",0.602272727,0.900793651
"Northern Bruce Peninsula, ON",0.599483204,0.884831461
"Northwest Angle 33B, ON",0.333333333,1
"Norwich, ON",0.554285714,0.93304721
"O'Connor, ON",0.65060241,0.930232558
"Oakville, ON",0.835045073,0.882989531
"Obadjiwan 15E, ON",,
"Oil Springs, ON",0.547945205,0.955882353
"Ojibway Nation of Saugeen (Savant Lake), ON",0.375,0.714285714
"Oliver Paipoonge, ON",0.700996678,0.920133111
"Oneida 41, ON",,
"Opasatika, ON",0.47826087,1
"Orangeville, ON",0.602262305,0.892303103
"Orillia, ON",0.570607802,0.848504342
"Oro-Medonte, ON",0.68677686,0.890879479
"Oshawa, ON",0.607027571,0.848086808
"Osnaburgh 63A, ON",0.117647059,0.727272727
"Osnaburgh 63B, ON",0.146341463,0.714285714
"Otonabee-South Monaghan, ON",0.667590028,0.908440629
"Ottawa, ON",0.768279327,0.896642636
"Owen Sound, ON",0.542243437,0.888605008
"Papineau-Cameron, ON",0.490196078,0.875
"Parry Island First Nation, ON",0.552631579,0.821428571
"Parry Sound, ON",0.531826991,0.917613663
"Pays Plat 51, ON",0.454545455,0.777777778
"Peawanuck, ON",0.454545455,0.724137931
"Pelee, ON",0.740740741,0.807692308
"Pelham, ON",0.749415888,0.914466131
"Pembroke, ON",0.533619456,0.875811688
"Penetanguishene, ON",0.552747253,0.884758364
"Perry, ON",0.480769231,0.912133891
"Perth East, ON",0.449873631,0.960926194
"Perth South, ON",0.616966581,0.92699115
"Perth, ON",0.576146789,0.870905588
"Petawawa, ON",0.587423313,0.936675462
"Peterborough, ON",0.638529196,0.853306563
"Petrolia, ON",0.684684685,0.909255898
"Pic Mobert North, ON",0.133333333,0.666666667
"Pic Mobert South, ON",0.416666667,0.818181818
"Pic River 50, ON",0.540540541,0.870967742
"Pickering, ON",0.710891272,0.87133414
"Pickle Lake, ON",0.470588235,0.9
"Pikangikum 14, ON",,
"Pikwakanagan (Golden Lake 39), ON",0.425531915,0.897435897
"Plummer Additional, ON",0.541666667,0.875
"Plympton-Wyoming, ON",0.712345679,0.925245098
"Point Edward, ON",0.698412698,0.873626374
"Point Grondine 3, ON",,
"Poplar Hill, ON",0.1,0.935483871
"Port Colborne, ON",0.548451548,0.872597474
"Port Hope, ON",0.60023175,0.889092017
"Powassan, ON",0.636065574,0.897106109
"Prescott, ON",0.544776119,0.876106195
"Prince Edward County, ON",0.640131309,0.908370044
"Prince, ON",0.730769231,0.88
"Puslinch, ON",0.71182266,0.907239819
"Quinte West, ON",0.564849236,0.890937711
"Rainy Lake 17A, ON",0.4,0.75
"Rainy Lake 17B, ON",,
"Rainy Lake 18C, ON",0.583333333,0.75
"Rainy Lake 26A, ON",0.533333333,0.846153846
"Rainy River, ON",0.517101449,0.883834929
"Ramara, ON",0.588846881,0.858527132
"Rankin Location 15D, ON",,
"Rat Portage 38A, ON",0.466666667,1
"Red Lake, ON",0.561363636,0.949308756
"Red Rock 53, ON",,
"Red Rock, ON",0.610526316,0.925925926
"Renfrew, ON",0.488250653,0.894345238
"Richmond Hill, ON",0.794320487,0.86913661
"Rideau Lakes, ON",0.64952381,0.909547739
"Rocky Bay 1, ON",0.357142857,0.636363636
"Russell, ON",0.716859122,0.946226841
"Ryerson, ON",0.518987342,0.935483871
"Sabaskong Bay 35D, ON",0.485714286,0.903225806
"Sables-Spanish Rivers, ON",0.515923567,0.893382353
"Sachigo Lake 1, ON",0.22,0.954545455
"Sagamok, ON",0.446601942,0.865671642
"Sand Point First Nation, ON",,
"Sandy Lake 88, ON",0.163841808,0.792
"Sarnia 45, ON",0.492537313,0.816326531
"Sarnia, ON",0.654048808,0.870460048
"Saug-A-Gaw-Sing 1, ON",0.583333333,1
"Saugeen 29, ON",0.45,0.827586207
"Saugeen Shores, ON",0.749056604,0.919836957
"Sault Ste. Marie, ON",0.636755105,0.870069256
"Schreiber, ON",0.486486486,0.904255319
"Scugog, ON",0.640146319,0.915044248
"Seguin, ON",0.604081633,0.93220339
"Seine River 23A, ON",0.3,0.611111111
"Selwyn, ON",0.670731707,0.894444444
"Serpent River 7, ON",0.529411765,0.791666667
"Severn, ON",0.61442623,0.894983278
"Shawanaga 17, ON",0.444444444,0.846153846
"Sheguiandah 24, ON",0.428571429,0.818181818
"Shelburne, ON",0.55982906,0.899791232
"Sheshegwaning 20, ON",0.538461538,1
"Shoal Lake (Part) 40, ON",0.166666667,0.8
"Shoal Lake 34B2, ON",0,1
"Shoal Lake 39A, ON",0.404761905,0.838709677
"Shuniah, ON",0.680597015,0.914826498
"Sioux Lookout, ON",0.613953488,0.942942943
"Sioux Narrows-Nestor Falls, ON",0.282608696,0.794871795
"Six Nations (Part) 40, ON",,
"Slate Falls, ON",0.192307692,1
"Smiths Falls, ON",0.469478357,0.899002494
"Smooth Rock Falls, ON",0.603773585,0.913580247
"South Algonquin, ON",0.381355932,0.769230769
"South Bruce Peninsula, ON",0.563593932,0.906519065
"South Bruce, ON",0.52027027,0.938906752
"South Dundas, ON",0.549815498,0.898832685
"South Frontenac, ON",0.658763366,0.909901455
"South Glengarry, ON",0.642964072,0.914141414
"South Huron, ON",0.552688172,0.920863309
"South River, ON",0.396551724,0.835164835
"South Stormont, ON",0.640369581,0.932374101
"South-West Oxford, ON",0.534391534,0.921375921
"Southgate, ON",0.45785877,0.922363847
"Southwest Middlesex, ON",0.568106312,0.902356902
"Southwold, ON",0.691532258,0.881801126
"Spanish, ON",0.36,0.820512821
"Springwater, ON",0.688947138,0.900411523
"St. Catharines, ON",0.622183958,0.841626937
"St. Clair, ON",0.666666667,0.912642045
"St. Joseph, ON",0.620967742,0.876033058
"St. Marys, ON",0.600276625,0.899182561
"St. Thomas, ON",0.576852278,0.887675885
"St.-Charles, ON",0.503597122,0.935779817
"Stirling-Rawdon, ON",0.557956778,0.915983607
"Stone Mills, ON",0.62633452,0.921497585
"Stratford, ON",0.599823581,0.892125757
"Strathroy-Caradoc, ON",0.623709211,0.911443591
"Strong, ON",0.45,0.869565217
"Sturgeon Falls 23, ON",,
"Sucker Creek 23, ON",0.55,0.787878788
"Sudbury, ON",0.566343042,0.907630522
"Summer Beaver, ON",0.21875,0.866666667
"Sundridge, ON",0.552631579,0.865671642
"Tarbutt and Tarbutt Additional, ON",0.578947368,0.96875
"Tay Valley, ON",0.589065256,0.890151515
"Tay, ON",0.577405858,0.889507892
"Tecumseh, ON",0.713979417,0.865716753
"Tehkummah, ON",0.533333333,0.86
"Temagami, ON",0.578313253,0.791666667
"Temiskaming Shores, ON",0.585746102,0.93227991
"Terrace Bay, ON",0.536144578,0.910447761
"Thames Centre, ON",0.681219681,0.922727273
"The Archipelago, ON",0.663366337,0.917525773
"The Blue Mountains, ON",0.740944018,0.891498881
"The Dalles 38C, ON",0.352941176,0.833333333
"The Nation / La Nation, ON",0.633557047,0.949481865
"The North Shore, ON",0.5,0.909090909
"Thessalon 12, ON",0.333333333,0.818181818
"Thessalon, ON",0.423423423,0.858823529
"Thornloe, ON",1,1
"Thorold, ON",0.620854974,0.846727423
"Thunder Bay, ON",0.623087381,0.888296626
"Tillsonburg, ON",0.513904983,0.883790226
"Timiskaming, ON",0.583081571,0.906542056
"Timmins, ON",0.573402809,0.91383004
"Tiny, ON",0.63014763,0.884933775
"Toronto, ON",0.724656265,0.861497022
"Trent Hills, ON",0.562923888,0.897663175
"Trent Lakes, ON",0.59379845,0.903985507
"Tudor and Cashel, ON",0.303797468,0.830188679
"Tweed, ON",0.517298188,0.897003745
"Tyendinaga Mohawk Territory, ON",0.588679245,0.909547739
"Tyendinaga, ON",0.6,0.902892562
"Uxbridge, ON",0.686703097,0.915991471
"Val Rita-Harty, ON",0.630952381,0.8875
"Vaughan, ON",0.732551082,0.875385704
"Wabaseemoong, ON",0.153846154,0.897959184
"Wabauskang 21, ON",0.5,0.75
"Wabigoon Lake 27, ON",0.25,1
"Wahnapitei 11, ON",0.428571429,1
"Wahta Mohawk Territory, ON",,
"Wainfleet, ON",0.585635359,0.908579466
"Walpole Island 46, ON",,
"Wapekeka 2, ON",0.097560976,0.931034483
"Warwick, ON",0.568627451,0.907651715
"Wasaga Beach, ON",0.534246575,0.86127451
"Waterloo, ON",0.785060241,0.880145554
"Wawa, ON",0.614840989,0.90459364
"Wawakapewin, ON",,
"Weagamow Lake 87, ON",0.178082192,0.924242424
"Webequie, ON",0.169491525,0.945945946
"Welland, ON",0.582805907,0.850395183
"Wellesley, ON",0.495758718,0.960526316
"Wellington North, ON",0.465661642,0.939369442
"West Elgin, ON",0.53125,0.906
"West Grey, ON",0.544886807,0.922137405
"West Lincoln, ON",0.616816431,0.916978777
"West Nipissing / Nipissing Ouest, ON",0.613730929,0.90125523
"West Perth, ON",0.564732143,0.950195313
"Westport, ON",0.568965517,0.796296296
"Whitby, ON",0.719262435,0.877283182
"Whitchurch-Stouffville, ON",0.727572176,0.895357686
"White River, ON",0.455696203,0.929577465
"Whitefish Bay 32A, ON",0.383333333,0.844444444
"Whitefish Bay 33A, ON",0.272727273,0.714285714
"Whitefish Bay 34A, ON",0.333333333,0.8
"Whitefish Lake 6, ON",0.558139535,0.85
"Whitefish River 4, ON",0.574468085,0.837837838
"Whitesand, ON",0.137931034,0.866666667
"Whitestone, ON",0.495575221,0.915662651
"Whitewater Region, ON",0.625348189,0.921852388
"Wikwemikong Unceded, ON",0.528301887,0.865591398
"Wilmot, ON",0.68975469,0.932474456
"Windsor, ON",0.584197758,0.811479628
"Wollaston, ON",0.569620253,0.87037037
"Woodstock, ON",0.550371594,0.879295893
"Woolwich, ON",0.646971386,0.938356164
"Wunnumin 1, ON",0.215686275,0.952380952
"Zhiibaahaasing 19A, ON",0,1
"Zorra, ON",0.653153153,0.921212121
